pitch,rolldev
141.1022881284,7.775
141.6022881284,7.775
142.1022881284,7.775
142.6022881284,7.775
143.1022881284,7.775
143.6022881284,7.775
144.1022881284,7.775
144.6022881284,7.775
145.1022881284,8.697
145.6022881284,8.697
146.1022881284,8.697
146.6022881284,8.697
147.1022881284,8.697
147.6022881284,8.697
148.1022881284,8.697
148.6022881284,8.697
149.1022881284,8.697
149.6022881284,8.697
150.1022881284,9.979
150.6022881284,9.979
151.1022881284,9.979
151.6022881284,9.979
152.1022881284,9.979
152.6022881284,9.979
153.1022881284,11.021
153.6022881284,11.021
154.1022881284,11.021
154.6022881284,11.021
155.1022881284,11.021
155.6022881284,11.021
156.1022881284,11.021
156.6022881284,11.021
157.1022881284,12.785
157.6022881284,12.785
158.1022881284,12.785
158.6022881284,12.785
159.1022881284,12.785
159.6022881284,12.785
160.1022881284,14.628
160.6022881284,14.628
161.1022881284,14.628
161.6022881284,14.628
162.1022881284,14.628
162.6022881284,14.628
163.1022881284,17.153
163.6022881284,17.153
164.1022881284,17.153
164.6022881284,17.153
165.1022881284,17.153
165.6022881284,17.153
166.1022881284,18.7487718079
166.6022881284,18.7487718079
167.1022881284,18.7487718079
167.6022881284,18.7487718079
168.1022881284,18.7487718079
168.6022881284,18.7487718079
169.1022881284,18.7487718079
169.6022881284,18.7487718079
170.1022881284,18.7487718079
170.6022881284,19.9987718079
171.1022881284,19.9987718079
171.6022881284,19.9987718079
172.1022881284,19.9987718079
172.6022881284,19.9987718079
173.1022881284,19.9987718079
173.6022881284,19.9987718079
174.1022881284,19.9987718079
174.6022881284,19.9987718079
175.1022881284,19.9987718079
175.6022881284,19.9987718079
176.1022881284,19.9987718079
176.6022881284,19.9987718079
177.1022881284,19.9987718079
177.6022881284,19.9987718079
178.1022881284,19.9987718079
178.6022881284,19.9987718079
179.1022881284,19.9987718079
179.6022881284,19.9987718079
